Curr IP,Server IP,CDN IP,Trc Server,Trc CDN,Trc Diff.,Ping Server,Ping CDN,Ping Diff,CDN?,Hops Server,Hops CDN,Distance Server,Distance CDN,Distance Diff.,CDN TTL
130.245.192.6,63.245.215.20,104.16.41.2,86149.76788,1033.904076,85115.8638,99.087,7.761,91.326,Yes,32,5,2605.834122,1336.019277,1269.814844,57
130.245.192.6,185.89.12.132,185.89.12.132,116256.4411,104301.203,11955.2381,177.305,157.434,19.871,Yes,32,32,4643.014865,4643.014865,0,300
130.245.192.6,216.58.219.227,216.58.218.227,6095.857859,2202.813148,3893.04471,7.756,12.196,-4.44,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,216.58.219.227,216.58.218.227,6087.90493,6213.470936,-125.5660057,7.985,12.518,-4.533,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,64.30.228.118,172.229.223.163,102605.3562,10607.0981,91998.25811,70.813,6.645,64.168,Yes,32,5,1091.701359,146.0685797,945.632779,20
130.245.192.6,107.178.250.249,107.178.250.249,1198.622942,89.74719048,1108.875751,7.083,8.107,-1.024,No,7,7,268.4655424,268.4655424,0,300
130.245.192.6,163.53.78.128,163.53.78.128,110509.706,115436.1811,-4926.475048,301.697,251.34,50.357,Yes,32,32,7824.502918,7824.502918,0,60
130.245.192.6,104.25.65.8,104.25.64.8,1040.257215,1040.086985,0.170230865,9.207,7.131,2.076,Yes,5,5,1336.019277,1336.019277,0,300
130.245.192.6,216.58.219.227,216.58.218.227,1101.438046,6211.667061,-5110.229015,7.492,12.319,-4.827,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,157.185.170.133,157.185.153.68,92.20910072,224.034071,-131.8249702,9.158,8.506,0.652,Yes,7,9,2479.734332,2487.622705,-7.888372638,53
130.245.192.6,46.28.209.62,46.28.209.62,101251.838,106031.7051,-4779.867172,108.174,108.245,-0.071,Yes,32,32,3546.78848,3546.78848,0,600
130.245.192.6,124.127.180.200,157.185.176.93,90743.20507,5365.43107,85377.774,378.147,43.781,334.366,Yes,32,11,6835.445738,2479.734332,4355.711406,14
130.245.192.6,104.25.71.110,104.25.72.110,1038.974047,1040.002108,-1.028060913,7.736,7.473,0.263,Yes,5,5,1336.019277,1336.019277,0,300
130.245.192.6,151.101.0.204,151.101.208.249,140064.8799,141515.7318,-1450.851917,8.891,8.233,0.658,Yes,32,32,2612.877204,55.80032968,2557.076875,30
130.245.192.6,186.192.90.5,186.192.81.5,120230.0732,120174.505,55.56821823,206.242,192.975,13.267,Yes,32,32,4788.762079,4788.762079,0,129600
130.245.192.6,104.18.128.69,104.18.128.69,6216.059923,114.9728298,6101.087093,7.341,7.017,0.324,Yes,5,5,1336.019277,1336.019277,0,300
130.245.192.6,209.225.49.79,13.33.87.189,10173.92182,25207.74984,-15033.82802,13.272,7.136,6.136,Yes,9,13,5279.347289,2442.667762,2836.679527,60
130.245.192.6,31.13.71.1,31.13.71.1,5089.291096,86.83395386,5002.457142,86.256,8.135,78.121,Yes,7,7,3143.587861,3143.587861,0,23
130.245.192.6,169.55.146.10,169.55.146.10,15455.02114,15177.45113,277.5700092,24.98,24.413,0.567,Yes,15,15,1336.019277,1336.019277,0,300
130.245.192.6,216.58.219.227,216.58.218.227,6099.963903,253.9789677,5845.984936,7.513,12.901,-5.388,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,200.147.67.142,13.33.74.109,100366.2212,25119.35306,75246.86813,204.564,7.528,197.036,Yes,32,13,4787.458547,2442.667762,2344.790786,60
130.245.192.6,216.58.219.227,216.58.218.227,1101.889849,1207.851887,-105.962038,8.425,13.297,-4.872,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,151.101.193.224,151.101.209.224,140063.7679,140105.0899,-41.32199287,9.792,8.504,1.288,Yes,32,32,2612.877204,55.80032968,2557.076875,30
130.245.192.6,151.101.192.175,151.101.210.152,135089.6232,145070.0259,-9980.402708,8.475,7.352,1.123,Yes,32,32,2612.877204,55.80032968,2557.076875,30
130.245.192.6,52.84.150.26,52.84.150.26,45798.50101,37953.28093,7845.220089,100.669,143.537,-42.868,No,17,17,2442.667762,2442.667762,0,60
130.245.192.6,216.58.219.227,216.58.218.227,1156.414986,6234.915733,-5078.500748,8.784,12.719,-3.935,No,7,11,2604.218551,2604.218551,0,186
130.245.192.6,216.58.219.227,216.58.218.227,54.59189415,1238.911867,-1184.319973,7.245,12.494,-5.249,No,7,11,2604.218551,2604.218551,0,174
130.245.192.6,124.243.192.30,123.58.16.132,116928.9942,47620.09597,69308.89821,478.218,363.859,114.359,Yes,25,26,6835.445738,6835.445738,0,30
130.245.192.6,118.191.216.57,118.191.216.57,103326.848,106004.4808,-2677.632809,301.148,289.081,12.067,Yes,32,32,8006.878894,8006.878894,0,3
130.245.192.6,13.33.74.41,151.101.210.112,25109.11632,140075.125,-114966.0087,7.72,7.572,0.148,Yes,13,32,2442.667762,55.80032968,2386.867432,22
,,,,,9552.725378,,,31.13398113,50,19.86792453,18.06918239,,,749.1701779,4750.383648
,,,,,,,,,50/159 = 68% have base page as CDN,,,,,111,
